name,latitude,longitude,kategori,kecamatan,kelurahan
Yayasan Gita Kirtti Surabaya,-7.273480749,112.7469135,pendidikan,Gubeng,Gubeng
SD Simolawang KIP,-7.234716291,112.752012,pendidikan,Simokerto,Simolawang
SD Negeri Bulak Banteng I & II,-7.212510128,112.7621725,pendidikan,Kenjeran,Bulak Banteng
SMP Cahaya Surabaya,-7.212515241,112.761307,pendidikan,Kenjeran,Bulak Banteng
SD Kemala Bhayangkari 2,-7.23706288,112.7468315,pendidikan,Simokerto,Sidodadi
SD Negeri Sidodadi I,-7.237032131,112.74658,pendidikan,Simokerto,Sidodadi
SMK Prapanca 2,-7.308359582,112.7731419,pendidikan,Sukolilo,Ngiden Jangkungan
SMK Wisata Prapanca,-7.308106761,112.7733231,pendidikan,Sukolilo,Ngiden Jangkungan
SD Negeri Ploso V,-7.251353336,112.7741604,pendidikan,Tambaksari,Ploso
TK-SD-SMP-SMA Mardi Siswi,-7.250704579,112.7562278,pendidikan,Tambaksari,Ploso
SMP PGRI 1 Surabaya,-7.251689033,112.7738975,pendidikan,Tambaksari,Ploso
SD Negeri Ploso I,-7.251797997,112.7636411,pendidikan,Tambaksari,Ploso
SMA PGRI 3 Surabaya,-7.251781413,112.7743299,pendidikan,Tambaksari,Ploso
SD Negeri Ploso III,-7.251434005,112.7709209,pendidikan,Tambaksari,Ploso
SMP Islam Baitul Amien,-7.251390954,112.7705299,pendidikan,Tambaksari,Ploso
SD Negeri Kertajaya IV,-7.283275964,112.7518507,pendidikan,Gubeng,Kertajaya
MTs Makarimul Akhlaq,-7.224546035,112.7537073,pendidikan,Semampir,Pegirian
MTs Al Khusnaniyah,-7.2303718,112.7448178,pendidikan,Semampir,Ampel
Yayasan Dwi Darma (SD Kreatif An Nur),-7.300621069,112.7761915,pendidikan,Sukolilo,Semolowaru
Yayasan Dwi Darma (SMP Kreatif An Nur),-7.301049411,112.7762014,pendidikan,Sukolilo,Semolowaru
SD Muhammadiyah 19,-7.2321325,112.7431915,pendidikan,Semampir,Ampel
Yayasan Perguruan Bahreisy,-7.232011141,112.7434996,pendidikan,Semampir,Ampel
SD Al Islamiyah,-7.232937768,112.7414722,pendidikan,Semampir,Ampel
Yayasan Pendidikan Trisila,-7.250868244,112.7434776,pendidikan,Genteng,Peneleh
TK-MI-MTs-MA Sunan Ampel,-7.221001401,112.7562363,pendidikan,Semampir,Wonokusumo
SD Negeri Peneleh I,-7.249577221,112.744891,pendidikan,Genteng,Peneleh
SMK Berdikari 2,-7.24646625,112.7518843,pendidikan,Genteng,Kapasari
SD Negeri Sutorejo 1,-7.259225198,112.7915422,pendidikan,Mulyorejo,Dukuh Sutorejo
SMA Negeri 9 Surabaya,-7.25759705,112.7502513,pendidikan,Genteng,Ketabang
SMA Negeri 1 Surabaya,-7.257594603,112.7495194,pendidikan,Genteng,Ketabang
SD-SMP-SMA Sasana Bhakti,-7.24775835,112.7427798,pendidikan,Genteng,Peneleh
SD Negeri Kalijudan II,-7.257115877,112.7790043,pendidikan,Mulyorejo,Kalijudan
SMP-SMK Brawijaya,-7.296695558,112.7552053,pendidikan,Wonokromo,Ngagelrejo
SMK Triyasa,-7.245926689,112.7544626,pendidikan,Simokerto,Tambakrejo
"TK, SD, SMP Kristen Bethel Surabaya",-7.246921988,112.7557408,pendidikan,Simokerto,Tambakrejo
Yayasan Darussalam,-7.246572862,112.7553037,pendidikan,Simokerto,Tambakrejo
Pondok Pesantren Darussalam,-7.24699215,112.7553573,pendidikan,Simokerto,Tambakrejo
SD II Al-Khairiyah,-7.230585803,112.7441162,pendidikan,Semampir,Ampel
